TIMESTEP,Year,Month,State,V_HW_Tmax_F,original,,V_HW_Precipitation_inch
1/20/1950,1950,Jan,Alabama,56.93,1.54,0,1.54
1/20/1950,1950,Jan,Arizona,68.27,1.22,-0.826791784,0.39
1/20/1950,1950,Jan,Arkansas,52.79,1.18,0,1.18
1/20/1950,1950,Jan,California,70.43,3.47,2.131408253,5.6
1/20/1950,1950,Jan,Colorado,47.57,0.63,0,0.63
1/20/1950,1950,Jan,Connecticut,35.33,2.1,-1.749992199,0.35
1/20/1950,1950,Jan,Delaware,41.63,2.42,1.581583976,4
1/20/1950,1950,Jan,District of Columbia,39.65,2.2,0,2.2
1/20/1950,1950,Jan,Florida,74.57,3.09,0,3.09
1/20/1950,1950,Jan,Georgia,60.89,1.45,-1.734505994,0.73
1/20/1950,1950,Jan,Idaho,43.25,0.65,1.094930677,1.74
1/20/1950,1950,Jan,Illinois,43.61,1.48,-1.503040962,0.74
1/20/1950,1950,Jan,Indiana,42.53,1.88,-1.478054356,0.4
1/20/1950,1950,Jan,Iowa,34.97,0.6,0,0.6
1/20/1950,1950,Jan,Kansas,47.39,0.34,0,0.34
1/20/1950,1950,Jan,Kentucky,45.59,2.03,-1.586495717,0.44
1/20/1950,1950,Jan,Louisiana,58.91,3.14,0,3.14
1/20/1950,1950,Jan,Maine,32.45,1.5,0,1.5
1/20/1950,1950,Jan,Maryland,42.71,2.33,0,2.33
1/20/1950,1950,Jan,Massachusetts,36.77,2.18,1.600615098,3.78
1/20/1950,1950,Jan,Michigan,33.53,1.89,1.143502682,3.03
1/20/1950,1950,Jan,Minnesota,29.39,0.34,1.611734087,1.95
1/20/1950,1950,Jan,Mississippi,57.29,2.08,0,2.08
1/20/1950,1950,Jan,Missouri,46.49,1.24,-1.703103189,0.62
1/20/1950,1950,Jan,Montana,42.17,0.43,0.836228518,1.27
1/20/1950,1950,Jan,Nebraska,41.63,0.46,0,0.46
1/20/1950,1950,Jan,Nevada,63.95,0.63,0,0.63
1/20/1950,1950,Jan,New Hampshire,32.63,1.77,-1.507383023,0.26
1/20/1950,1950,Jan,New Jersey,40.73,2.36,1.574216376,3.93
1/20/1950,1950,Jan,New Mexico,57.11,0.87,0,0.87
1/20/1950,1950,Jan,New York,36.23,2.12,0,2.12
1/20/1950,1950,Jan,North Carolina,52.43,1.11,0,1.11
1/20/1950,1950,Jan,North Dakota,32.99,0.16,0,0.16
1/20/1950,1950,Jan,Ohio,40.01,1.86,0,1.86
1/20/1950,1950,Jan,Oklahoma,52.61,0.55,-1.697151286,0.28
1/20/1950,1950,Jan,Oregon,55.49,1.74,-2.124200068,0.87
1/20/1950,1950,Jan,Pennsylvania,36.95,2.48,0,2.48
1/20/1950,1950,Jan,Rhode Island,35.69,2.38,-1.753651829,0.63
1/20/1950,1950,Jan,South Carolina,57.11,0.89,0,0.89
1/20/1950,1950,Jan,South Dakota,40.19,0.27,1.334197699,1.6
1/20/1950,1950,Jan,Tennessee,48.29,1.72,1.713352436,3.43
1/20/1950,1950,Jan,Texas,64.85,1.81,0,1.81
1/20/1950,1950,Jan,Utah,55.85,0.89,0,0.89
1/20/1950,1950,Jan,Vermont,29.03,1.8,1.426016463,3.23
1/20/1950,1950,Jan,Virginia,46.49,1.7,1.422970034,3.12
1/20/1950,1950,Jan,Washington,51.17,2.54,-2.555837471,1.27
1/20/1950,1950,Jan,West Virginia,41.27,2.63,1.346319937,3.98
1/20/1950,1950,Jan,Wisconsin,31.73,0.78,1.577388262,2.36
1/20/1950,1950,Jan,Wyoming,42.53,0.59,-0.67124255,0.3
2/20/1950,1950,Feb,Alabama,59.45,8.18,0,8.18
2/20/1950,1950,Feb,Arizona,71.15,0.7,-0.826791784,0.35
2/20/1950,1950,Feb,Arkansas,53.33,4.45,-1.958623226,2.49
2/20/1950,1950,Feb,California,73.13,1.04,-2.131408253,0.52
2/20/1950,1950,Feb,Colorado,46.85,0.96,-0.696928566,0.26
2/20/1950,1950,Feb,Connecticut,38.21,0.87,-1.749992199,0.44
2/20/1950,1950,Feb,Delaware,44.87,1.23,-1.581583976,0.62
2/20/1950,1950,Feb,District of Columbia,44.69,1.05,-1.564456752,0.53
2/20/1950,1950,Feb,Florida,76.37,6.02,2.59240158,8.61
2/20/1950,1950,Feb,Georgia,62.69,6.22,1.734505994,7.95
2/20/1950,1950,Feb,Idaho,47.39,0.94,1.094930677,2.03
2/20/1950,1950,Feb,Illinois,45.95,0.87,0,0.87
2/20/1950,1950,Feb,Indiana,45.41,0.92,1.478054356,2.4
2/20/1950,1950,Feb,Iowa,39.11,0.62,-1.963361456,0.31
2/20/1950,1950,Feb,Kansas,47.75,0.68,0,0.68
2/20/1950,1950,Feb,Kentucky,47.75,2.44,-1.586495717,0.85
2/20/1950,1950,Feb,Louisiana,61.79,10.76,0,10.76
