"","State","wect","WinterEndingEarly","wsct","WinterStartingLate","ssct","SummerStartingEarly","sect","SummerEndingLate"
"1","Alabama",3,2,15,1,16,2,1,1
"2","Arizona",2,2,16,1,9,1,0,1
"3","Arkansas",2,2,16,1,9,1,1,1
"4","California",1,2,16,1,6,1,0,1
"5","Colorado",0,2,16,1,13,2,1,1
"6","Connecticut",10,1,15,1,9,1,0,1
"7","Delaware",7,2,15,1,10,1,0,1
"8","District of Columbia",6,2,15,1,8,1,0,1
"9","Florida",3,2,11,1,15,2,2,1
"10","Georgia",5,2,15,1,14,2,1,1
"11","Idaho",1,2,16,1,8,1,0,1
"12","Illinois",4,2,16,1,11,2,0,1
"13","Indiana",5,2,15,1,10,1,0,1
"14","Iowa",3,2,16,1,12,2,0,1
"15","Kansas",1,2,16,1,12,2,1,1
"16","Kentucky",2,2,15,1,9,1,1,1
"17","Louisiana",2,2,13,1,15,2,3,1
"18","Maine",11,1,15,1,10,1,0,1
"19","Maryland",5,2,15,1,12,2,1,1
"20","Massachusetts",10,1,15,1,10,1,0,1
"21","Michigan",7,2,15,1,13,2,0,1
"22","Minnesota",5,2,16,1,14,2,0,1
"23","Mississippi",3,2,15,1,14,2,1,1
"24","Missouri",3,2,16,1,10,1,1,1
"25","Montana",1,2,16,1,9,1,0,1
"26","Nebraska",0,2,16,1,9,1,1,1
"27","Nevada",3,2,16,1,5,1,0,1
"28","New Hampshire",11,1,15,1,10,1,0,1
"29","New Jersey",7,2,15,1,11,2,0,1
"30","New Mexico",1,2,16,1,15,2,0,1
"31","New York",6,2,15,1,13,2,0,1
"32","North Carolina",3,2,15,1,14,2,1,1
"33","North Dakota",5,2,16,1,8,1,0,1
"34","Ohio",7,2,15,1,10,1,0,1
"35","Oklahoma",1,2,15,1,11,2,1,1
"36","Oregon",3,2,16,1,9,1,2,1
"37","Pennsylvania",5,2,15,1,12,2,0,1
"38","Rhode Island",11,1,15,1,8,1,0,1
"39","South Carolina",5,2,15,1,14,2,0,1
"40","South Dakota",1,2,16,1,9,1,0,1
"41","Tennessee",2,2,15,1,12,2,1,1
"42","Texas",0,2,16,1,15,2,0,1
"43","Utah",3,2,16,1,8,1,0,1
"44","Vermont",8,2,15,1,11,2,0,1
"45","Virginia",3,2,15,1,12,2,1,1
"46","Washington",2,2,16,1,10,1,0,1
"47","West Virginia",4,2,15,1,9,1,0,1
"48","Wisconsin",6,2,16,1,13,2,0,1
"49","Wyoming",1,2,16,1,10,1,0,1
