"","State","wect","WinterEndingEarly","wsct","WinterStartingLate","ssct","SummerStartingEarly","sect","SummerEndingLate"
"1","Alabama",2,1,9,0,5,0,10,1
"2","Arizona",0,1,10,0,1,0,8,1
"3","Arkansas",1,1,9,0,3,0,8,1
"4","California",0,1,10,0,1,0,7,1
"5","Colorado",0,1,10,0,1,0,9,1
"6","Connecticut",6,0,9,0,1,0,6,0
"7","Delaware",5,1,9,0,1,0,6,0
"8","District of Columbia",4,1,9,0,0,0,6,0
"9","Florida",2,1,6,0,9,1,10,1
"10","Georgia",2,1,9,0,5,0,8,1
"11","Idaho",1,1,10,0,0,0,8,1
"12","Illinois",1,1,10,0,2,0,8,1
"13","Indiana",3,1,9,0,2,0,7,1
"14","Iowa",1,1,10,0,1,0,6,0
"15","Kansas",0,1,10,0,2,0,8,1
"16","Kentucky",1,1,9,0,1,0,8,1
"17","Louisiana",1,1,6,0,3,0,9,1
"18","Maine",7,0,9,0,3,0,7,1
"19","Maryland",3,1,9,0,1,0,7,1
"20","Massachusetts",6,0,9,0,2,0,8,1
"21","Michigan",4,1,9,0,5,0,9,1
"22","Minnesota",3,1,10,0,2,0,7,1
"23","Mississippi",2,1,8,0,3,0,9,1
"24","Missouri",1,1,9,0,1,0,7,1
"25","Montana",0,1,10,0,0,0,8,1
"26","Nebraska",0,1,10,0,1,0,8,1
"27","Nevada",1,1,10,0,1,0,7,1
"28","New Hampshire",7,0,9,0,3,0,7,1
"29","New Jersey",5,1,9,0,1,0,6,0
"30","New Mexico",0,1,10,0,6,0,5,0
"31","New York",4,1,9,0,4,0,8,1
"32","North Carolina",1,1,9,0,5,0,9,1
"33","North Dakota",4,1,10,0,0,0,5,0
"34","Ohio",4,1,9,0,3,0,9,1
"35","Oklahoma",0,1,9,0,4,0,8,1
"36","Oregon",3,1,10,0,0,0,10,1
"37","Pennsylvania",3,1,9,0,3,0,8,1
"38","Rhode Island",7,0,9,0,1,0,8,1
"39","South Carolina",3,1,9,0,4,0,6,0
"40","South Dakota",0,1,10,0,0,0,8,1
"41","Tennessee",1,1,9,0,2,0,9,1
"42","Texas",0,1,10,0,8,1,6,0
"43","Utah",1,1,10,0,1,0,7,1
"44","Vermont",6,0,9,0,2,0,5,0
"45","Virginia",1,1,9,0,5,0,7,1
"46","Washington",2,1,10,0,1,0,6,0
"47","West Virginia",1,1,9,0,4,0,9,1
"48","Wisconsin",3,1,10,0,2,0,6,0
"49","Wyoming",0,1,10,0,0,0,9,1
